[2018-09-22 16:49:11] {"fd":272,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"role\":\"manage\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":2,\"uid\":\"console_1_founder_2\",\"nickname\":\"\u7ba1\u7406\u5458longlong\",\"at\":{}}"}
[2018-09-22 16:55:40] {"fd":273,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"role\":\"manage\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":2,\"uid\":\"console_1_founder_2\",\"nickname\":\"\u7ba1\u7406\u5458longlong\",\"at\":{}}"}
[2018-09-22 16:59:33] {"fd":276,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"role\":\"manage\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":2,\"uid\":\"console_1_founder_2\",\"nickname\":\"\u7ba1\u7406\u5458longlong\",\"at\":{}}"}
[2018-10-07 13:25:28] {"fd":295,"finish":true,"opcode":1,"data":"{\"scene\":\"reload\"}"}
[2018-10-23 20:58:53] {"fd":4,"finish":true,"opcode":1,"data":"{\"scene\":\"reload\"}"}
[2018-11-06 00:12:09] {"fd":27,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"role\":\"manage\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":1,\"uid\":\"console_1_founder_1\",\"nickname\":\"\u7ba1\u7406\u5458admin\",\"at\":{}}"}
[2018-11-06 00:13:01] {"fd":28,"finish":true,"opcode":1,"data":"{\"scene\":\"reload\"}"}
[2018-11-06 00:13:47] {"fd":32,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"role\":\"manage\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":1,\"uid\":\"console_1_founder_1\",\"nickname\":\"\u7ba1\u7406\u5458admin\",\"at\":{}}"}
[2018-11-12 17:40:41] {"fd":52,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":6,\"uid\":\"2181\",\"nickname\":\"A0\u53ef\u53ef-\u4e91\u6816\u5546\u52a1\u7f51\u7edc\u5de5\u4f5c\u5ba4\"}"}
[2018-11-12 17:41:04] {"fd":53,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":6,\"uid\":\"2181\",\"nickname\":\"A0\u53ef\u53ef-\u4e91\u6816\u5546\u52a1\u7f51\u7edc\u5de5\u4f5c\u5ba4\"}"}
[2018-11-12 17:42:50] {"fd":54,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":6,\"uid\":\"2181\",\"nickname\":\"A0\u53ef\u53ef-\u4e91\u6816\u5546\u52a1\u7f51\u7edc\u5de5\u4f5c\u5ba4\"}"}
[2018-11-12 19:06:36] {"fd":55,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":6,\"uid\":\"2181\",\"nickname\":\"A0\u53ef\u53ef-\u4e91\u6816\u5546\u52a1\u7f51\u7edc\u5de5\u4f5c\u5ba4\"}"}
[2018-11-17 10:04:00] {"fd":63,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":2,\"uid\":\"2188\",\"nickname\":\"\u5386\u7ecf\u5343\u5e06\u4ecd\u5c11\u5e74\"}"}
